image number,slab label,energy (eV)
0
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
1
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
2
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
3
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
4
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
5
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
6
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
7
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
8
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
9
,0.0.Ir1.Au13,-92.059727
,0.1.Ir1.Au12,-92.066084
,0.2.Ir1.Au15,-92.066084
,0.3.Ir1.Au14,-92.066085
,0.4.Ir1.Au11,-91.795423
,0.5.Ir1.Au10,-91.7954
,0.6.Ir1.Au9,-91.795401
,0.7.Ir1.Au8,-91.726247
