deltaZ,labels,energies
1,0.0.Ir0.Au12,-92.059727
1,0.1.Ir0.Au13,-92.066085
1,0.2.Ir0.Au14,-92.066086
1,0.3.Ir0.Au15,-92.066084
1,0.4.Ir0.Au8,-91.795667
1,0.5.Ir0.Au9,-91.726008
1,0.6.Ir0.Au10,-91.795667
1,0.7.Ir0.Au11,-91.7954
1,1.0.Ir1.Au12,-92.066084
1,1.1.Ir1.Au13,-92.059727
1,1.2.Ir1.Au14,-92.066085
1,1.3.Ir1.Au15,-92.066084
1,1.4.Ir1.Au8,-91.726247
1,1.5.Ir1.Au9,-91.795401
1,1.6.Ir1.Au10,-91.7954
1,1.7.Ir1.Au11,-91.795423
-1,0.0.Au0.Ir12,-91.938966
-1,0.1.Au0.Ir13,-91.946093
-1,0.2.Au0.Ir14,-91.946093
-1,0.3.Au0.Ir15,-91.946093
-1,0.4.Au0.Ir8,-92.406252
-1,0.5.Au0.Ir9,-92.330542
-1,0.6.Au0.Ir10,-92.406252
-1,0.7.Au0.Ir11,-92.406252
-1,1.0.Au1.Ir12,-91.946093
-1,1.1.Au1.Ir13,-91.93892
-1,1.2.Au1.Ir14,-91.946093
-1,1.3.Au1.Ir15,-91.946052
-1,1.4.Au1.Ir8,-92.330545
-1,1.5.Au1.Ir9,-92.406252
-1,1.6.Au1.Ir10,-92.406252
-1,1.7.Au1.Ir11,-92.406252
